SN,author,year,location,country,TSI,Journal,study_design,Impact studied,impacted_entity,Impacted_system,mean_control,sd_control,ss_control,mean_invaded,sd_invaded,ss_invaded,,,,,,,,
38,Greenfield et al.,2007,"Sacramento-Sen Joaquin River, California",USA,1904,Eustaries and Coasts,Before after,Turbidity,Turbidity,Water quality,33,8.6,4,25.1,25.5,6,"Mechanical shredding of water hyacinth effects on water quality in the Sacramento-San Joaquin River Delta, California",,,,,,,
39,Greenfield et al.,2007,"Sacramento-Sen Joaquin River, California",USA,1904,Eustaries and Coasts,Before after,Turbidity,Turbidity,Water quality,11.8,5.8,5,6.2,1.2,4,"Mechanical shredding of water hyacinth effects on water quality in the Sacramento-San Joaquin River Delta, California",,,,,,,
40,Greenfield et al.,2007,"Sacramento-Sen Joaquin River, California",USA,1904,Eustaries and Coasts,Before after,Total Phosphorus,Phosphate,Water quality,0.1,0.05,5,0.48,0.29,4,"Mechanical shredding of water hyacinth effects on water quality in the Sacramento-San Joaquin River Delta, California",,,,,,,
41,Greenfield et al.,2007,"Sacramento-Sen Joaquin River, California",USA,1904,Eustaries and Coasts,Before after,Total Phosphorus,Phosphate,Water quality,0.1,0.05,6,0.64,0.18,4,"Mechanical shredding of water hyacinth effects on water quality in the Sacramento-San Joaquin River Delta, California",,,,,,,
42,Greenfield et al.,2007,"Sacramento-Sen Joaquin River, California",USA,1904,Eustaries and Coasts,Before after,Total Phosphorus,Phosphate,Water quality,0.13,0.04,4,0.38,0.41,6,"Mechanical shredding of water hyacinth effects on water quality in the Sacramento-San Joaquin River Delta, California",,,,,,,
43,Greenfield et al.,2007,"Sacramento-Sen Joaquin River, California",USA,1904,Eustaries and Coasts,Before after,Total Phosphorus,Phosphate,Water quality,0.07,0.01,5,0.07,0.02,4,"Mechanical shredding of water hyacinth effects on water quality in the Sacramento-San Joaquin River Delta, California",,,,,,,
44,Greenfield et al.,2007,"Sacramento-Sen Joaquin River, California",USA,1904,Eustaries and Coasts,Before after,Dissolved orthoreactive phosphorus,Phosphate,Water quality,0.012,0.009,2,0.16,0.064,4,"Mechanical shredding of water hyacinth effects on water quality in the Sacramento-San Joaquin River Delta, California",,,,,,,
45,Greenfield et al.,2007,"Sacramento-Sen Joaquin River, California",USA,1904,Eustaries and Coasts,Before after,Dissolved orthoreactive phosphorus,Phosphate,Water quality,0.017,0.01,4,0.32,0.28,4,"Mechanical shredding of water hyacinth effects on water quality in the Sacramento-San Joaquin River Delta, California",,,,,,,
46,Greenfield et al.,2007,"Sacramento-Sen Joaquin River, California",USA,1904,Eustaries and Coasts,Before after,Dissolved orthoreactive phosphorus,Phosphate,Water quality,0.026,0.008,3,0.089,0.056,6,"Mechanical shredding of water hyacinth effects on water quality in the Sacramento-San Joaquin River Delta, California",,,,,,,
47,Greenfield et al.,2007,"Sacramento-Sen Joaquin River, California",USA,1904,Eustaries and Coasts,Before after,Dissolved orthoreactive phosphorus,Phosphate,Water quality,0.042,0.01,3,0.043,0.01,4,"Mechanical shredding of water hyacinth effects on water quality in the Sacramento-San Joaquin River Delta, California",,,,,,,
48,Greenfield et al.,2007,"Sacramento-Sen Joaquin River, California",USA,1904,Eustaries and Coasts,Before after,Total Kjeldahl nitrogen,Nitrogen,Water quality,0.76,0.36,4,2.13,1.44,4,"Mechanical shredding of water hyacinth effects on water quality in the Sacramento-San Joaquin River Delta, California",,,,,,,
49,Greenfield et al.,2007,"Sacramento-Sen Joaquin River, California",USA,1904,Eustaries and Coasts,Before after,Total Kjeldahl nitrogen,Nitrogen,Water quality,0.61,0.23,5,1.7,1.16,4,"Mechanical shredding of water hyacinth effects on water quality in the Sacramento-San Joaquin River Delta, California",,,,,,,
50,Greenfield et al.,2007,"Sacramento-Sen Joaquin River, California",USA,1904,Eustaries and Coasts,Before after,Total Kjeldahl nitrogen,Nitrogen,Water quality,0.57,0.23,4,1.15,1.25,6,"Mechanical shredding of water hyacinth effects on water quality in the Sacramento-San Joaquin River Delta, California",,,,,,,
51,Greenfield et al.,2007,"Sacramento-Sen Joaquin River, California",USA,1904,Eustaries and Coasts,Before after,Total Kjeldahl nitrogen,Nitrogen,Water quality,ND,NA,4,ND,NA,4,"Mechanical shredding of water hyacinth effects on water quality in the Sacramento-San Joaquin River Delta, California",,,,,,,
52,Greenfield et al.,2007,"Sacramento-Sen Joaquin River, California",USA,1904,Eustaries and Coasts,Before after,Dissolved organic carbon,Carbonate,Water quality,3.9,NA,1,21.5,4.4,4,"Mechanical shredding of water hyacinth effects on water quality in the Sacramento-San Joaquin River Delta, California",,,,,,,
53,Greenfield et al.,2007,"Sacramento-Sen Joaquin River, California",USA,1904,Eustaries and Coasts,Before after,Dissolved organic carbon,Carbonate,Water quality,3.9,0.6,2,14.6,6.7,4,"Mechanical shredding of water hyacinth effects on water quality in the Sacramento-San Joaquin River Delta, California",,,,,,,
54,Greenfield et al.,2007,"Sacramento-Sen Joaquin River, California",USA,1904,Eustaries and Coasts,Before after,Dissolved organic carbon,Carbonate,Water quality,5,0.3,2,4.9,0.6,6,"Mechanical shredding of water hyacinth effects on water quality in the Sacramento-San Joaquin River Delta, California",,,,,,,
55,Greenfield et al.,2007,"Sacramento-Sen Joaquin River, California",USA,1904,Eustaries and Coasts,Before after,Dissolved organic carbon,Carbonate,Water quality,3.7,0.8,2,3.7,0.8,4,"Mechanical shredding of water hyacinth effects on water quality in the Sacramento-San Joaquin River Delta, California",,,,,,,
56,Greenfield et al.,2007,"Sacramento-Sen Joaquin River, California",USA,1904,Eustaries and Coasts,Before after,Conductivity ,Conductivity,Water quality,254,72,5,281,44,6,"Mechanical shredding of water hyacinth effects on water quality in the Sacramento-San Joaquin River Delta, California",,,,,,,
57,Greenfield et al.,2007,"Sacramento-Sen Joaquin River, California",USA,1904,Eustaries and Coasts,Before after,Conductivity ,Conductivity,Water quality,158,12,8,249,35,4,"Mechanical shredding of water hyacinth effects on water quality in the Sacramento-San Joaquin River Delta, California",,,,,,,
58,Greenfield et al.,2007,"Sacramento-Sen Joaquin River, California",USA,1904,Eustaries and Coasts,Before after,Conductivity ,Conductivity,Water quality,1219,530,4,3250,244,6,"Mechanical shredding of water hyacinth effects on water quality in the Sacramento-San Joaquin River Delta, California",,,,,,,
59,Greenfield et al.,2007,"Sacramento-Sen Joaquin River, California",USA,1904,Eustaries and Coasts,Before after,Conductivity ,Conductivity,Water quality,1226,531,5,3339,198,4,"Mechanical shredding of water hyacinth effects on water quality in the Sacramento-San Joaquin River Delta, California",,,,,,,
60,Gezie et al.,2018,Tana Watershed,Ethiopia,1950,Biological Invasios,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,2.33,2.85,15,8.67,5.12,15," Potential impacts of water hyacinth invasion and management on water quality and human health in Lake Tana watershed, Northwest Ethiopia",,,,,,,
61,Gezie et al.,2018,Tana Watershed,Ethiopia,1950,Biological Invasios,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,3.4,3.25,15,7.4,5.54,15," Potential impacts of water hyacinth invasion and management on water quality and human health in Lake Tana watershed, Northwest Ethiopia",,,,,,,
62,Gezie et al.,2018,Tana Watershed,Ethiopia,1950,Biological Invasios,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,16.8,9.7,15,18.67,6.63,15," Potential impacts of water hyacinth invasion and management on water quality and human health in Lake Tana watershed, Northwest Ethiopia",,,,,,,
63,Gezie et al.,2018,Tana Watershed,Ethiopia,1950,Biological Invasios,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,6.13,4.42,15,11.27,6.44,15," Potential impacts of water hyacinth invasion and management on water quality and human health in Lake Tana watershed, Northwest Ethiopia",,,,,,,
64,Gezie et al.,2018,Tana Watershed,Ethiopia,1950,Biological Invasios,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,7.87,5.21,15,19.93,10.55,15," Potential impacts of water hyacinth invasion and management on water quality and human health in Lake Tana watershed, Northwest Ethiopia",,,,,,,
65,Gezie et al.,2018,Tana Watershed,Ethiopia,1950,Biological Invasios,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,2.27,3.4,15,9.93,4.53,15," Potential impacts of water hyacinth invasion and management on water quality and human health in Lake Tana watershed, Northwest Ethiopia",,,,,,,
66,Gezie et al.,2018,Tana Watershed,Ethiopia,1950,Biological Invasios,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,1,1.31,15,3.67,4.22,15," Potential impacts of water hyacinth invasion and management on water quality and human health in Lake Tana watershed, Northwest Ethiopia",,,,,,,
67,Gezie et al.,2018,Tana Watershed,Ethiopia,1950,Biological Invasios,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,1.53,1.51,15,8.87,8.72,15," Potential impacts of water hyacinth invasion and management on water quality and human health in Lake Tana watershed, Northwest Ethiopia",,,,,,,
68,Gezie et al.,2018,Tana Watershed,Ethiopia,1950,Biological Invasios,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,9.13,1.19,15,12.73,2.66,15," Potential impacts of water hyacinth invasion and management on water quality and human health in Lake Tana watershed, Northwest Ethiopia",,,,,,,
69,Gezie et al.,2018,Tana Watershed,Ethiopia,1950,Biological Invasios,Observation,Orthophosphate,Phosphate,Water quality,0.34,0.2,15,0.5,0.57,15," Potential impacts of water hyacinth invasion and management on water quality and human health in Lake Tana watershed, Northwest Ethiopia",,,,,,,
70,Gezie et al.,2018,Tana Watershed,Ethiopia,1950,Biological Invasios,Observation,Ammonia-nitrogen,Nitrogen,Water quality,0.22,0.09,15,0.36,0.31,15," Potential impacts of water hyacinth invasion and management on water quality and human health in Lake Tana watershed, Northwest Ethiopia",,,,,,,
71,Gezie et al.,2018,Tana Watershed,Ethiopia,1950,Biological Invasios,Observation,Nitrates-Nitrogen,Nitrogen,Water quality,3.27,1.52,15,4.43,2.36,15," Potential impacts of water hyacinth invasion and management on water quality and human health in Lake Tana watershed, Northwest Ethiopia",,,,,,,
72,Gezie et al.,2018,Tana Watershed,Ethiopia,1950,Biological Invasios,Observation,Chlorophyll-a ,Chlorophyll-a,Water quality,12.78,3.8,15,9.14,3.1,15," Potential impacts of water hyacinth invasion and management on water quality and human health in Lake Tana watershed, Northwest Ethiopia",,,,,,,
73,Gezie et al.,2018,Tana Watershed,Ethiopia,1950,Biological Invasios,Observation,Hardness,Hardness,Water quality,134.1,26.7,15,296.1,52.22,15," Potential impacts of water hyacinth invasion and management on water quality and human health in Lake Tana watershed, Northwest Ethiopia",,,,,,,
74,Gezie et al.,2018,Tana Watershed,Ethiopia,1950,Biological Invasios,Observation,Chloride,Chloride,Water quality,6.82,6.96,15,21.8,14.39,15," Potential impacts of water hyacinth invasion and management on water quality and human health in Lake Tana watershed, Northwest Ethiopia",,,,,,,
75,Gezie et al.,2018,Tana Watershed,Ethiopia,1950,Biological Invasios,Observation,Conductivity ,Conductivity,Water quality,271.1,9.13,15,851.26,318.32,15," Potential impacts of water hyacinth invasion and management on water quality and human health in Lake Tana watershed, Northwest Ethiopia",,,,,,,
76,Gezie et al.,2018,Tana Watershed,Ethiopia,1950,Biological Invasios,Observation,pH,pH,Water quality,9,0.36,15,8.36,0.25,15," Potential impacts of water hyacinth invasion and management on water quality and human health in Lake Tana watershed, Northwest Ethiopia",,,,,,,
77,Gezie et al.,2018,Tana Watershed,Ethiopia,1950,Biological Invasios,Observation,Alkalinity,Alkalinity,Water quality,128.7,3.16,15,281.3,104.84,15," Potential impacts of water hyacinth invasion and management on water quality and human health in Lake Tana watershed, Northwest Ethiopia",,,,,,,
78,Gezie et al.,2018,Tana Watershed,Ethiopia,1950,Biological Invasios,Observation,Bicarbonate,Carbonate,Water quality,118.6,5.8,15,260,26.8,15," Potential impacts of water hyacinth invasion and management on water quality and human health in Lake Tana watershed, Northwest Ethiopia",,,,,,,
79,Gezie et al.,2018,Tana Watershed,Ethiopia,1950,Biological Invasios,Observation,Total dissolved solid ,Suspended solid,Water quality,167.47,7.6,15,546.8,190.55,15," Potential impacts of water hyacinth invasion and management on water quality and human health in Lake Tana watershed, Northwest Ethiopia",,,,,,,
80,Gezie et al.,2018,Tana Watershed,Ethiopia,1950,Biological Invasios,Observation,Dissolved Oxygen saturation (%),Oxygen saturation,Water quality,84.96,30.42,15,18.18,11.65,15," Potential impacts of water hyacinth invasion and management on water quality and human health in Lake Tana watershed, Northwest Ethiopia",,,,,,,
81,Saeed & Al-Nagaawy,2013,Experimental Earthen ponds,Egypt,NA,Journal of the Arabian Aquaculture Society,Experiment setup,Water temperature,Temperature,Water quality,22.23,NA,3,21.91,NA,3,"Impact of water hyacinth on physio-chemical properties of water, phytoplankto biomass and nile tilapia production in earthern ponds",,,,,,,
82,Saeed & Al-Nagaawy,2013,Experimental Earthen ponds,Egypt,NA,Journal of the Arabian Aquaculture Society,Experiment setup,pH,pH,Water quality,9.07,NA,3,8.78,NA,3,"Impact of water hyacinth on physio-chemical properties of water, phytoplankto biomass and nile tilapia production in earthern ponds",,,,,,,
83,Saeed & Al-Nagaawy,2013,Experimental Earthen ponds,Egypt,NA,Journal of the Arabian Aquaculture Society,Experiment setup,Dissolved Oxygen,Dissolved oxygen,Water quality,7.38,NA,3,5.49,NA,3,"Impact of water hyacinth on physio-chemical properties of water, phytoplankto biomass and nile tilapia production in earthern ponds",,,,,,,
84,Saeed & Al-Nagaawy,2013,Experimental Earthen ponds,Egypt,NA,Journal of the Arabian Aquaculture Society,Experiment setup,Carbonate concentration,Carbonate,Water quality,19.99,NA,3,11.87,NA,3,"Impact of water hyacinth on physio-chemical properties of water, phytoplankto biomass and nile tilapia production in earthern ponds",,,,,,,
85,Saeed & Al-Nagaawy,2013,Experimental Earthen ponds,Egypt,NA,Journal of the Arabian Aquaculture Society,Experiment setup,Bicarbonate,Carbonate,Water quality,280.4,NA,3,323.4,NA,3,"Impact of water hyacinth on physio-chemical properties of water, phytoplankto biomass and nile tilapia production in earthern ponds",,,,,,,
86,Saeed & Al-Nagaawy,2013,Experimental Earthen ponds,Egypt,NA,Journal of the Arabian Aquaculture Society,Experiment setup,Alkalinity,Alkalinity,Water quality,300.4,NA,3,335.3,NA,3,"Impact of water hyacinth on physio-chemical properties of water, phytoplankto biomass and nile tilapia production in earthern ponds",,,,,,,
87,Saeed & Al-Nagaawy,2013,Experimental Earthen ponds,Egypt,NA,Journal of the Arabian Aquaculture Society,Experiment setup,Secchi depth (cm),Sechi depth,Water quality,11.04,NA,3,11.79,NA,3,"Impact of water hyacinth on physio-chemical properties of water, phytoplankto biomass and nile tilapia production in earthern ponds",,,,,,,
88,Saeed & Al-Nagaawy,2013,Experimental Earthen ponds,Egypt,NA,Journal of the Arabian Aquaculture Society,Experiment setup,Dissolved salts,Dissolved salts,Water quality,345.7,NA,3,311.4,NA,3,"Impact of water hyacinth on physio-chemical properties of water, phytoplankto biomass and nile tilapia production in earthern ponds",,,,,,,
89,Saeed & Al-Nagaawy,2013,Experimental Earthen ponds,Egypt,NA,Journal of the Arabian Aquaculture Society,Experiment setup,Orthophosphate,Phosphate,Water quality,0.488,NA,3,0.427,NA,3,"Impact of water hyacinth on physio-chemical properties of water, phytoplankto biomass and nile tilapia production in earthern ponds",,,,,,,
90,Saeed & Al-Nagaawy,2013,Experimental Earthen ponds,Egypt,NA,Journal of the Arabian Aquaculture Society,Experiment setup,Ammonia-nitrogen,Nitrogen,Water quality,0.72,NA,3,0.83,NA,3,"Impact of water hyacinth on physio-chemical properties of water, phytoplankto biomass and nile tilapia production in earthern ponds",,,,,,,
91,Saeed & Al-Nagaawy,2013,Experimental Earthen ponds,Egypt,NA,Journal of the Arabian Aquaculture Society,Experiment setup,Nitrites-Nitrogen,Nitrogen,Water quality,0.024,NA,3,0.028,NA,3,"Impact of water hyacinth on physio-chemical properties of water, phytoplankto biomass and nile tilapia production in earthern ponds",,,,,,,
92,Saeed & Al-Nagaawy,2013,Experimental Earthen ponds,Egypt,NA,Journal of the Arabian Aquaculture Society,Experiment setup,Nitrate,Nitrogen,Water quality,0.439,NA,3,0.378,NA,3,"Impact of water hyacinth on physio-chemical properties of water, phytoplankto biomass and nile tilapia production in earthern ponds",,,,,,,
93,Saeed & Al-Nagaawy,2013,Experimental Earthen ponds,Egypt,NA,Journal of the Arabian Aquaculture Society,Experiment setup,Water temperature,Temperature,Water quality,22.23,NA,3,21.98,NA,3,"Impact of water hyacinth on physio-chemical properties of water, phytoplankto biomass and nile tilapia production in earthern ponds",,,,,,,
94,Saeed & Al-Nagaawy,2013,Experimental Earthen ponds,Egypt,NA,Journal of the Arabian Aquaculture Society,Experiment setup,pH,pH,Water quality,9.07,NA,3,8.64,NA,3,"Impact of water hyacinth on physio-chemical properties of water, phytoplankto biomass and nile tilapia production in earthern ponds",,,,,,,
